transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
1_20250101,2025-01-01,07:06:11,2.0,5,Main Campus,32,45.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
2_20250101,2025-01-01,07:08:56,2.0,5,Main Campus,57,46.5,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
3_20250101,2025-01-01,07:14:04,2.0,5,Main Campus,59,67.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
4_20250101,2025-01-01,07:20:24,1.0,5,Main Campus,22,30.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm
5_20250101,2025-01-01,07:22:41,2.0,5,Main Campus,57,46.5,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
6_20250101,2025-01-01,07:22:41,1.0,5,Main Campus,77,45.0,Bakery,Scone,Oatmeal Scone
7_20250101,2025-01-01,07:25:49,1.0,5,Main Campus,22,30.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm
8_20250101,2025-01-01,07:33:34,2.0,5,Main Campus,28,30.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
9_20250101,2025-01-01,07:39:13,1.0,5,Main Campus,39,63.75,Coffee,Barista Espresso,Latte Rg
10_20250101,2025-01-01,07:39:34,2.0,5,Main Campus,58,52.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
11_20250101,2025-01-01,07:43:05,1.0,5,Main Campus,56,38.25,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
12_20250101,2025-01-01,07:44:35,2.0,5,Main Campus,33,52.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
13_20250101,2025-01-01,07:45:51,1.0,5,Main Campus,51,45.0,Tea,Brewed Black tea,Earl Grey Lg
14_20250101,2025-01-01,07:48:19,1.0,5,Main Campus,57,46.5,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
15_20250101,2025-01-01,07:52:36,2.0,5,Main Campus,87,45.0,Coffee,Barista Espresso,Ouro Brasileiro shot
16_20250101,2025-01-01,07:59:58,2.0,5,Main Campus,47,45.0,Tea,Brewed Green tea,Serenity Green Tea Lg
17_20250101,2025-01-01,07:59:58,1.0,5,Main Campus,79,56.25,Bakery,Scone,Jumbo Savory Scone
18_20250101,2025-01-01,08:00:18,1.0,8,East Campus,42,37.5,Tea,Brewed herbal tea,Lemon Grass Rg
19_20250101,2025-01-01,08:00:39,2.0,8,East Campus,59,67.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
20_20250101,2025-01-01,08:11:45,1.0,8,East Campus,61,71.25,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
21_20250101,2025-01-01,08:17:27,2.0,8,East Campus,33,52.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
22_20250101,2025-01-01,08:24:26,2.0,5,Main Campus,56,38.25,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
23_20250101,2025-01-01,08:24:26,1.0,5,Main Campus,69,48.75,Bakery,Biscotti,Hazelnut Biscotti
24_20250101,2025-01-01,08:29:38,1.0,8,East Campus,56,38.25,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
25_20250101,2025-01-01,08:31:23,1.0,8,East Campus,40,56.25,Coffee,Barista Espresso,Cappuccino
